ID,SMILES,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-γ,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
1,Cc1ccccc1,0.395,0.491,0.507,0.465,0.405,0.487,0.553,0.494,0.425,0.373,0.487,0.483
2,CCO,0.44,0.557,0.441,0.447,0.483,0.452,0.541,0.527,0.402,0.442,0.524,0.431
3,CC(=O)O,0.419,0.629,0.455,0.465,0.559,0.458,0.53,0.488,0.43,0.554,0.582,0.45
4,C1CCCCC1,0.42,0.485,0.452,0.453,0.456,0.465,0.566,0.47,0.407,0.429,0.502,0.466
5,Cc1ccccc1O,0.388,0.491,0.518,0.482,0.473,0.547,0.51,0.57,0.435,0.503,0.525,0.552
6,CCN(CC)C(=O)C1CCCCC1,0.46,0.548,0.441,0.51,0.522,0.522,0.536,0.548,0.442,0.608,0.521,0.494
7,C1=CC=C(C=C1)C=O,0.476,0.626,0.376,0.429,0.489,0.431,0.586,0.591,0.447,0.546,0.512,0.445
8,CC(=O)NC1=CC=CC=C1,0.474,0.607,0.426,0.437,0.488,0.451,0.572,0.583,0.46,0.596,0.581,0.477
9,CN1CCCC1=O,0.429,0.609,0.421,0.417,0.506,0.501,0.554,0.536,0.444,0.569,0.593,0.54
10,C1=CC=C2C(=C1)C=CC=C2,0.492,0.612,0.39,0.413,0.482,0.427,0.571,0.595,0.455,0.506,0.527,0.452
